feature loss: 28.06948471069336, feature weight: 0.01
output loss: 0.1518423855304718, output weight: 1.0
task loss: 0.3841198980808258, task weight: 1.0
feature loss: 27.942888259887695, feature weight: 0.01
output loss: 0.15531685948371887, output weight: 1.0
task loss: 0.4210813641548157, task weight: 1.0
feature loss: 27.9692325592041, feature weight: 0.01
output loss: 0.13723015785217285, output weight: 1.0
task loss: 0.3874838054180145, task weight: 1.0
feature loss: 27.930160522460938, feature weight: 0.01
output loss: 0.16028547286987305, output weight: 1.0
task loss: 0.4727258086204529, task weight: 1.0
feature loss: 27.922819137573242, feature weight: 0.01
output loss: 0.132369264960289, output weight: 1.0
task loss: 0.4000365734100342, task weight: 1.0
feature loss: 28.113935470581055, feature weight: 0.01
output loss: 0.13207507133483887, output weight: 1.0
task loss: 0.30145397782325745, task weight: 1.0
feature loss: 27.929872512817383, feature weight: 0.01
output loss: 0.1664002239704132, output weight: 1.0
task loss: 0.24984680116176605, task weight: 1.0
feature loss: 27.921781539916992, feature weight: 0.01
output loss: 0.13171762228012085, output weight: 1.0
task loss: 0.31505703926086426, task weight: 1.0
feature loss: 27.9906063079834, feature weight: 0.01
output loss: 0.14834550023078918, output weight: 1.0
task loss: 0.2569118142127991, task weight: 1.0
feature loss: 27.9827880859375, feature weight: 0.01
output loss: 0.14145612716674805, output weight: 1.0
task loss: 0.23954086005687714, task weight: 1.0
feature loss: 27.89358901977539, feature weight: 0.01
output loss: 0.13132938742637634, output weight: 1.0
task loss: 0.36405491828918457, task weight: 1.0
feature loss: 27.867111206054688, feature weight: 0.01
output loss: 0.1449701339006424, output weight: 1.0
task loss: 0.26984912157058716, task weight: 1.0
feature loss: 27.907642364501953, feature weight: 0.01
output loss: 0.14257121086120605, output weight: 1.0
task loss: 0.23263689875602722, task weight: 1.0
feature loss: 27.820266723632812, feature weight: 0.01
output loss: 0.1437457650899887, output weight: 1.0
task loss: 0.34257757663726807, task weight: 1.0
feature loss: 27.761465072631836, feature weight: 0.01
output loss: 0.14234329760074615, output weight: 1.0
task loss: 0.2603604197502136, task weight: 1.0
feature loss: 27.752796173095703, feature weight: 0.01
output loss: 0.16172683238983154, output weight: 1.0
task loss: 0.3773908019065857, task weight: 1.0
feature loss: 27.678068161010742, feature weight: 0.01
output loss: 0.12528195977210999, output weight: 1.0
task loss: 0.2794671952724457, task weight: 1.0
feature loss: 27.731658935546875, feature weight: 0.01
output loss: 0.13292229175567627, output weight: 1.0
task loss: 0.22857843339443207, task weight: 1.0
feature loss: 27.75385856628418, feature weight: 0.01
output loss: 0.1430332362651825, output weight: 1.0
